,Compound,Negative,Neutral,Positive,Tweet,account,tweet ago
141,0.0,1.0,0.0,0.0,"Last year, LaGuardia Airport had the highest rate of flight cancellations, at 3.2 percent, among the 25 busiest air… https://t.co/mJDEBHBkcW",CBS News,42
142,-0.6705,0.78,0.22,0.0,"Fourteen Palestinians killed in clashes with Israeli forces, as thousands of Palestinians marched to Gaza's border… https://t.co/UH7SFGUdoh",CBS News,43
143,0.5267,0.827,0.0,0.173,Looking to increase your energy during your workout? What you eat before you head to the gym could make all the dif… https://t.co/TOWWYGqsUb,CBS News,44
144,0.0,1.0,0.0,0.0,"Two summers ago, 10-year-old Caleb Schwab was decapitated on ""Verruckt,"" the world's largest water slide. Now, thre… https://t.co/zaQwNmiHEV",CBS News,45
145,-0.128,0.7,0.181,0.119,"After 11 advertisers drop Laura Ingraham, supporters of the conservative TV host are now calling for a boycott of t… https://t.co/nGNqPUjv7z",CBS News,46
146,0.4215,0.843,0.0,0.157,"Sister Jean, Loyola-Chicago's adored 98-year-old team chaplain, is politely trash-talking Michigan ahead of the sch… https://t.co/xvTIW20CXf",CBS News,47
147,-0.0516,0.915,0.085,0.0,"2 ISIS fighters from a cell known for beheading hostages are breaking their silence:
https://t.co/EdVe9VdJzO https://t.co/zXHql75uU5",CBS News,48
148,0.0,1.0,0.0,0.0,"Arnold Schwarzenegger has undergone heart surgery, but contrary to some reports, it was a planned procedure, accord… https://t.co/8xqwZJgGTA",CBS News,49
149,-0.5423,0.844,0.156,0.0,"""Each none of these bullets independently possessed a fatal capacity. Meaning, that out of them, all he needed to h… https://t.co/L9KuhbZn2Y",CBS News,50
150,0.0,1.0,0.0,0.0,MORE: Dr. Bennet Omalu says he concluded Stephon Clark was shot 7 times in the back https://t.co/z3yFByQrVw https://t.co/duSPuHB31E,CBS News,51
151,0.0,1.0,0.0,0.0,"""The second autopsy -- there were a total of 8 gunshot wounds. A total of 8 gunshot wounds, meaning that he was hit… https://t.co/DlSWxXJYhB",CBS News,52
152,0.0,1.0,0.0,0.0,"WATCH LIVE: Sacramento officials hold a press conference, where Stephon Clark's autopsy results are expected to be… https://t.co/asDRpQOMQv",CBS News,53
153,0.5267,0.794,0.0,0.206,7 Roman Catholic devotees in the Philippines were nailed to wooden crosses in a Good Friday reenactment of Jesus Ch… https://t.co/BDPTx5pwzQ,CBS News,54
154,-0.8271,0.674,0.326,0.0,3 Las Vegas teenagers on spring break died in a fiery crash in Southern California after their car was hit by a sus… https://t.co/mOygeQVJto,CBS News,55
155,0.1655,0.93,0.0,0.07,Parkland school shooter Nikolas Cruz has been getting piles of fan mail while he sits in jail -- but he hasn't been… https://t.co/2SLoOK6cdH,CBS News,56
156,-0.6705,0.769,0.231,0.0,"12 people have been killed  in Israel-Gaza clashes along the border, Palestinian Health Ministry says… https://t.co/XFMQ7aWELY",CBS News,57
157,0.0,1.0,0.0,0.0,"RT @CBSEveningNews: While @OnTheRoadCBS in Africa our Steve Hartman came across the 'Daily Talk"" chalkboard on the busiest street in Monrov…",CBS News,58
158,0.4767,0.846,0.0,0.154,"A 48-foot section of the ""holy grail of shipwrecks"" has washed ashore on a Florida beach, thrilling researchers who… https://t.co/j7lmzgOKBy",CBS News,59
159,-0.8481,0.62,0.38,0.0,"The Vatican is denying that Pope Francis told an Italian journalist that ""there is no hell"" https://t.co/2lBJdM9gna https://t.co/BYjyjvFDpd",CBS News,60
160,0.3818,0.874,0.0,0.126,"In a clear signal to the West, Russia released video today of a test launch of a new intercontinental ballistic mis… https://t.co/GQ5pd48er6",CBS News,61
161,-0.1531,0.914,0.086,0.0,"A 19,000-pound space station is falling toward Earth and scientists project it may land sometime between Saturday a… https://t.co/0V84xoyDzL",CBS News,62
162,-0.6705,0.769,0.231,0.0,"American service member killed in Syria roadside bombing, U.S. military official confirms to CBS News… https://t.co/Liu7lEzydg",CBS News,63
